# Extracted from logs/eval_nsteps_{60,80,90,100,110,120,140,160,180,200}.log
# Source experiment: run_steps.sh (n_steps sweep)
# Top-10 Invalid SMILES is reported as N/A in every log ("no corresponding input rank").

n_steps	top_k	acc_percent	max_frag_percent	invalid_smiles_percent
60	1	45.000	47.000	22.550
60	2	55.000	60.000	21.800
60	3	61.000	65.000	23.500
60	4	62.000	65.000	24.150
60	5	65.000	69.000	21.550
60	6	67.000	71.000	22.700
60	7	67.000	71.000	23.650
60	8	67.000	71.000	23.800
60	9	68.000	72.000	24.150
60	10	70.000	75.000	N/A
80	1	43.000	45.000	23.150
80	2	55.000	58.000	21.950
80	3	63.000	66.000	22.700
80	4	66.000	69.000	22.800
80	5	66.000	69.000	21.750
80	6	67.000	70.000	23.450
80	7	67.000	70.000	21.600
80	8	68.000	71.000	23.400
80	9	69.000	71.000	21.050
80	10	71.000	73.000	N/A
90	1	43.000	47.000	21.050
90	2	59.000	64.000	22.600
90	3	66.000	70.000	22.150
90	4	66.000	71.000	22.650
90	5	69.000	73.000	22.650
90	6	70.000	73.000	21.700
90	7	71.000	74.000	22.050
90	8	71.000	74.000	21.900
90	9	71.000	74.000	19.600
90	10	72.000	75.000	N/A
100	1	44.000	47.000	22.050
100	2	55.000	60.000	21.950
100	3	60.000	64.000	21.000
100	4	63.000	67.000	21.550
100	5	65.000	69.000	23.650
100	6	67.000	72.000	22.900
100	7	67.000	72.000	21.950
100	8	69.000	77.000	23.100
100	9	69.000	77.000	21.650
100	10	71.000	79.000	N/A
110	1	44.000	48.000	22.400
110	2	55.000	59.000	21.800
110	3	63.000	67.000	21.450
110	4	64.000	69.000	22.200
110	5	66.000	70.000	20.650
110	6	67.000	71.000	20.850
110	7	67.000	71.000	21.100
110	8	68.000	74.000	22.100
110	9	69.000	75.000	21.750
110	10	71.000	77.000	N/A
120	1	45.000	49.000	22.600
120	2	56.000	59.000	20.300
120	3	60.000	64.000	23.550
120	4	61.000	66.000	21.600
120	5	64.000	70.000	22.450
120	6	66.000	71.000	21.750
120	7	67.000	71.000	23.600
120	8	68.000	72.000	21.700
120	9	68.000	72.000	21.100
120	10	68.000	72.000	N/A
140	1	44.000	46.000	21.200
140	2	56.000	60.000	21.350
140	3	59.000	63.000	21.500
140	4	62.000	67.000	21.800
140	5	64.000	69.000	21.850
140	6	69.000	74.000	23.150
140	7	69.000	75.000	20.400
140	8	69.000	75.000	20.750
140	9	70.000	75.000	20.650
140	10	70.000	75.000	N/A
160	1	44.000	47.000	21.700
160	2	55.000	58.000	20.050
160	3	59.000	63.000	22.200
160	4	64.000	68.000	20.950
160	5	67.000	72.000	22.250
160	6	70.000	75.000	19.150
160	7	70.000	75.000	21.950
160	8	71.000	75.000	21.650
160	9	74.000	79.000	21.200
160	10	74.000	79.000	N/A
180	1	44.000	50.000	20.550
180	2	59.000	62.000	22.200
180	3	63.000	66.000	21.000
180	4	66.000	70.000	21.650
180	5	69.000	74.000	20.050
180	6	69.000	74.000	21.000
180	7	72.000	76.000	20.750
180	8	73.000	77.000	21.800
180	9	73.000	77.000	22.600
180	10	73.000	77.000	N/A
200	1	43.000	46.000	21.650
200	2	58.000	61.000	21.900
200	3	61.000	66.000	20.050
200	4	66.000	70.000	20.500
200	5	67.000	71.000	19.400
200	6	69.000	73.000	21.650
200	7	69.000	74.000	20.750
200	8	71.000	77.000	20.400
200	9	71.000	77.000	20.750
200	10	71.000	77.000	N/A
